record_type,receipt_run_id,canonical_cache_key,receipt_json_sha256,artifact_id,artifact,workflow_run_id,dispositions,candidate_delta_rows,candidate_fields,candidate_file_count,candidate_files,source_cells,cache_match_cells,cache_missing_cells,cache_conflict_cells,unmatched_cache_cells,blocked_schema_cells,final_status,final_reason,next_action,identity_profile_run_id,identity_profile_source,source_team_keys,matched_source_team_keys,unmatched_source_team_keys,league_week_overlap_keys,league_week_absent_keys,matched_source_player_rows,identity_bridge_status,matched_by_mfl_manager_guid,matched_by_manager_team_name,matched_by_unique_manager,cache_join_strategy,bridge_evidence_file_count,bridge_evidence_row_count,bridge_evidence_strength,bridge_evidence_schemas,bridge_evidence_receipt_run_id,loss_tie_gate,player_team_bridge_gate,source_precedence_gate,cache_admission_state
cache_recovery_receipt,31655409805,research-public-lake-v4-Linux-20260806-championship-v2-final-playoff-anchor-outcomes-31147899613,a80623aca49e533edaa4eab761ca4b1d33ffcc6fb61a67a0046311b8c74118ca,mfl-source-only-bridge-26936-31655409805,research-source-matchup-rescue-3-31062083630,31647988031,exact_existing_player_null_fill,26936,champion|final_playoff_seed|is_playoffs|loss|made_playoffs|team_points|tie|win,256,256 exact source-candidate artifacts,26936,26936,0,0,0,0,cache_verified,"Fresh restore read back all 26,936 source-proven existing-player NULL-fill candidates with zero remaining source-backed nulls; schema, player-row count, ops cache, and approved single lineage are unchanged.",closed_independent_cache_readback,31655409805,mfl_source_only_bridge_readback.json,,,,,,26936,source_roster_to_nfl_player_to_existing_cache_player,,,,db_name|year|week|NFL_player_id,256,26936,direct_source_and_existing_cache_player,db_name|year|week|NFL_player_id,31647988031,not_required,not_required,not_required,closed_cache_verified
cache_recovery_receipt,31624673691,research-public-lake-v4-Linux-20260806-championship-v2-final-playoff-anchor-outcomes-31147899613,ae0917ae66f45ac2e66661e8505b4d515829d71603fe80cab6026dccccf35c50,mfl-74-row-recovery-31624673691,mfl-roster-bridge-pilot-31616814643,31616814643,exact_source_player_row_addition,74,player_row_exact_schema|clutch_equity,1,mfl_roster_bridge_diagnostic.parquet,74,74,0,0,0,0,cache_verified,Independent approved-cache restore read back all 74 source-proven MFL player-week rows; 43 starts have score and LAMAR; all 74 have structural identity and clutch.,closed_independent_cache_readback,,,15,15,0,15,0,74,source_franchise_to_existing_player_team_to_manager,0,0,74,db_name|year|week|NFL_player_id|manager,1,74,direct_source_and_existing_cache_bridge,mfl_roster_bridge_diagnostic.parquet,31616814643,not_required,not_required,not_required,closed_cache_verified
cache_recovery_receipt,31646989467,research-public-lake-v4-Linux-20260806-championship-v2-final-playoff-anchor-outcomes-31147899613,8f6ae61a79ae2c561206b2054329ca3d24d7a926449cdec5199446d05f2386e3,mfl-source-team-bridge-204-31646045505,mfl-source-team-bridge-validation-4-31645490959,31646045505,exact_existing_player_null_fill,204,loss|tie|team_points|is_playoffs,2,source_team_player_bridge.parquet|team_promotable_player_delta.parquet,816,816,0,0,0,0,cache_verified,"Independent approved-cache restore read back all 204 source-proven MFL player/team rows; loss, tie, team points, and playoff flags are populated with zero remaining source-backed nulls.",closed_independent_cache_readback,31646989467,mfl_source_team_bridge_readback.json,32,26,6,32,0,204,source_franchise_to_player_to_raw_team_key,,,,db_name|year|week|NFL_player_id|source_team_key,1,208,direct_mfl_franchise_roster_to_raw_team,db_name|year|week|NFL_player_id|team_key|manager|team_name,31645490959,not_required,not_required,not_required,closed_cache_verified
artifact_inventory,31500865474,research-public-lake-v4-Linux-20260806-championship-v2-final-playoff-anchor-outcomes-31147899613,df8a21d802928f3f0215bff49a272ff7168acb0a6412cc181fd94bd51cf8dbbd,9017023023,cohort-dimension-fills-31240980656,31240980656,metadata_or_validation|settings_candidate,0,,1,league_settings_updates.parquet,392,392,0,0,0,0,cache_verified,Every non-null candidate source cell equals the current canonical cache value.,closed_cache_verified,,,,,,,,,,,,,,,,,,,not_required,not_required,not_required,closed_cache_verified
artifact_inventory,31500865474,research-public-lake-v4-Linux-20260806-championship-v2-final-playoff-anchor-outcomes-31147899613,df8a21d802928f3f0215bff49a272ff7168acb0a6412cc181fd94bd51cf8dbbd,9017085420,cohort-dimension-fills-31241204271,31241204271,metadata_or_validation|settings_candidate,0,,1,league_settings_updates.parquet,397,397,0,0,0,0,cache_verified,Every non-null candidate source cell equals the current canonical cache value.,closed_cache_verified,,,,,,,,,,,,,,,,,,,not_required,not_required,not_required,closed_cache_verified
artifact_inventory,31500865474,research-public-lake-v4-Linux-20260806-championship-v2-final-playoff-anchor-outcomes-31147899613,df8a21d802928f3f0215bff49a272ff7168acb0a6412cc181fd94bd51cf8dbbd,9017102868,cohort-dimension-fills-31241246508,31241246508,metadata_or_validation|settings_candidate,0,,1,league_settings_updates.parquet,397,397,0,0,0,0,cache_verified,Every non-null candidate source cell equals the current canonical cache value.,closed_cache_verified,,,,,,,,,,,,,,,,,,,not_required,not_required,not_required,closed_cache_verified
artifact_inventory,31500865474,research-public-lake-v4-Linux-20260806-championship-v2-final-playoff-anchor-outcomes-31147899613,df8a21d802928f3f0215bff49a272ff7168acb0a6412cc181fd94bd51cf8dbbd,9017276532,cohort-dimension-fills-31241762314,31241762314,metadata_or_validation|settings_candidate,0,,1,league_settings_updates.parquet,430,430,0,0,0,0,cache_verified,Every non-null candidate source cell equals the current canonical cache value.,closed_cache_verified,,,,,,,,,,,,,,,,,,,not_required,not_required,not_required,closed_cache_verified
artifact_inventory,31500865474,research-public-lake-v4-Linux-20260806-championship-v2-final-playoff-anchor-outcomes-31147899613,df8a21d802928f3f0215bff49a272ff7168acb0a6412cc181fd94bd51cf8dbbd,9017358884,cohort-dimension-fills-31242077769,31242077769,metadata_or_validation|settings_candidate,0,,1,league_settings_updates.parquet,404,404,0,0,0,0,cache_verified,Every non-null candidate source cell equals the current canonical cache value.,closed_cache_verified,,,,,,,,,,,,,,,,,,,not_required,not_required,not_required,closed_cache_verified
artifact_inventory,31500865474,research-public-lake-v4-Linux-20260806-championship-v2-final-playoff-anchor-outcomes-31147899613,df8a21d802928f3f0215bff49a272ff7168acb0a6412cc181fd94bd51cf8dbbd,9017405035,cohort-dimension-fills-31242239460,31242239460,metadata_or_validation|settings_candidate,0,,1,league_settings_updates.parquet,404,404,0,0,0,0,cache_verified,Every non-null candidate source cell equals the current canonical cache value.,closed_cache_verified,,,,,,,,,,,,,,,,,,,not_required,not_required,not_required,closed_cache_verified
artifact_inventory,31500865474,research-public-lake-v4-Linux-20260806-championship-v2-final-playoff-anchor-outcomes-31147899613,df8a21d802928f3f0215bff49a272ff7168acb0a6412cc181fd94bd51cf8dbbd,9017465992,cohort-dimension-fills-31242449375,31242449375,metadata_or_validation|settings_candidate,0,,1,league_settings_updates.parquet,404,404,0,0,0,0,cache_verified,Every non-null candidate source cell equals the current canonical cache value.,closed_cache_verified,,,,,,,,,,,,,,,,,,,not_required,not_required,not_required,closed_cache_verified
artifact_inventory,31500865474,research-public-lake-v4-Linux-20260806-championship-v2-final-playoff-anchor-outcomes-31147899613,df8a21d802928f3f0215bff49a272ff7168acb0a6412cc181fd94bd51cf8dbbd,9017516997,cohort-dimension-fills-31242629151,31242629151,metadata_or_validation|settings_candidate,0,,1,league_settings_updates.parquet,404,404,0,0,0,0,cache_verified,Every non-null candidate source cell equals the current canonical cache value.,closed_cache_verified,,,,,,,,,,,,,,,,,,,not_required,not_required,not_required,closed_cache_verified
artifact_inventory,31500865474,research-public-lake-v4-Linux-20260806-championship-v2-final-playoff-anchor-outcomes-31147899613,df8a21d802928f3f0215bff49a272ff7168acb0a6412cc181fd94bd51cf8dbbd,9017566017,cohort-dimension-fills-31242812128,31242812128,metadata_or_validation|settings_candidate,0,,1,league_settings_updates.parquet,404,404,0,0,0,0,cache_verified,Every non-null candidate source cell equals the current canonical cache value.,closed_cache_verified,,,,,,,,,,,,,,,,,,,not_required,not_required,not_required,closed_cache_verified
artifact_inventory,31500865474,research-public-lake-v4-Linux-20260806-championship-v2-final-playoff-anchor-outcomes-31147899613,df8a21d802928f3f0215bff49a272ff7168acb0a6412cc181fd94bd51cf8dbbd,9017603117,cohort-dimension-fills-31242959343,31242959343,metadata_or_validation|settings_candidate,0,,1,league_settings_updates.parquet,404,404,0,0,0,0,cache_verified,Every non-null candidate source cell equals the current canonical cache value.,closed_cache_verified,,,,,,,,,,,,,,,,,,,not_required,not_required,not_required,closed_cache_verified
artifact_inventory,31500865474,research-public-lake-v4-Linux-20260806-championship-v2-final-playoff-anchor-outcomes-31147899613,df8a21d802928f3f0215bff49a272ff7168acb0a6412cc181fd94bd51cf8dbbd,9017642793,cohort-dimension-fills-31243101871,31243101871,metadata_or_validation|settings_candidate,0,,1,league_settings_updates.parquet,404,404,0,0,0,0,cache_verified,Every non-null candidate source cell equals the current canonical cache value.,closed_cache_verified,,,,,,,,,,,,,,,,,,,not_required,not_required,not_required,closed_cache_verified
artifact_inventory,31500865474,research-public-lake-v4-Linux-20260806-championship-v2-final-playoff-anchor-outcomes-31147899613,df8a21d802928f3f0215bff49a272ff7168acb0a6412cc181fd94bd51cf8dbbd,9017683585,cohort-dimension-fills-31243250482,31243250482,metadata_or_validation|settings_candidate,0,,1,league_settings_updates.parquet,404,404,0,0,0,0,cache_verified,Every non-null candidate source cell equals the current canonical cache value.,closed_cache_verified,,,,,,,,,,,,,,,,,,,not_required,not_required,not_required,closed_cache_verified
artifact_inventory,31500865474,research-public-lake-v4-Linux-20260806-championship-v2-final-playoff-anchor-outcomes-31147899613,df8a21d802928f3f0215bff49a272ff7168acb0a6412cc181fd94bd51cf8dbbd,9017904499,cohort-dimension-fills-31243866480,31243866480,metadata_or_validation|settings_candidate,0,,1,league_settings_updates.parquet,404,404,0,0,0,0,cache_verified,Every non-null candidate source cell equals the current canonical cache value.,closed_cache_verified,,,,,,,,,,,,,,,,,,,not_required,not_required,not_required,closed_cache_verified
artifact_inventory,31500865474,research-public-lake-v4-Linux-20260806-championship-v2-final-playoff-anchor-outcomes-31147899613,df8a21d802928f3f0215bff49a272ff7168acb0a6412cc181fd94bd51cf8dbbd,9018060164,cohort-dimension-fills-31244332861,31244332861,metadata_or_validation|settings_candidate,0,,1,league_settings_updates.parquet,404,404,0,0,0,0,cache_verified,Every non-null candidate source cell equals the current canonical cache value.,closed_cache_verified,,,,,,,,,,,,,,,,,,,not_required,not_required,not_required,closed_cache_verified
artifact_inventory,31500865474,research-public-lake-v4-Linux-20260806-championship-v2-final-playoff-anchor-outcomes-31147899613,df8a21d802928f3f0215bff49a272ff7168acb0a6412cc181fd94bd51cf8dbbd,9018547315,cohort-dimension-fills-31246061090,31246061090,metadata_or_validation|settings_candidate,0,,1,league_settings_updates.parquet,404,404,0,0,0,0,cache_verified,Every non-null candidate source cell equals the current canonical cache value.,closed_cache_verified,,,,,,,,,,,,,,,,,,,not_required,not_required,not_required,closed_cache_verified
artifact_inventory,31500865474,research-public-lake-v4-Linux-20260806-championship-v2-final-playoff-anchor-outcomes-31147899613,df8a21d802928f3f0215bff49a272ff7168acb0a6412cc181fd94bd51cf8dbbd,9018632741,cohort-dimension-fills-31246301506,31246301506,metadata_or_validation|settings_candidate,0,,1,league_settings_updates.parquet,404,404,0,0,0,0,cache_verified,Every non-null candidate source cell equals the current canonical cache value.,closed_cache_verified,,,,,,,,,,,,,,,,,,,not_required,not_required,not_required,closed_cache_verified
artifact_inventory,31500865474,research-public-lake-v4-Linux-20260806-championship-v2-final-playoff-anchor-outcomes-31147899613,df8a21d802928f3f0215bff49a272ff7168acb0a6412cc181fd94bd51cf8dbbd,9018750270,cohort-dimension-fills-31246698859,31246698859,metadata_or_validation|settings_candidate,0,,1,league_settings_updates.parquet,404,404,0,0,0,0,cache_verified,Every non-null candidate source cell equals the current canonical cache value.,closed_cache_verified,,,,,,,,,,,,,,,,,,,not_required,not_required,not_required,closed_cache_verified
artifact_inventory,31500865474,research-public-lake-v4-Linux-20260806-championship-v2-final-playoff-anchor-outcomes-31147899613,df8a21d802928f3f0215bff49a272ff7168acb0a6412cc181fd94bd51cf8dbbd,9018808127,cohort-dimension-fills-31246886919,31246886919,metadata_or_validation|settings_candidate,0,,1,league_settings_updates.parquet,404,404,0,0,0,0,cache_verified,Every non-null candidate source cell equals the current canonical cache value.,closed_cache_verified,,,,,,,,,,,,,,,,,,,not_required,not_required,not_required,closed_cache_verified
